heder	Length	GC_amont	CG_precent
>lcl|NC_001133.9_cds_NP_009380.1_49 	1554	712	45.82 %
>lcl|NC_001133.9_cds_NP_009381.1_50 	2514	1148	45.66 %
>lcl|NC_001133.9_cds_NP_009382.2_51 	1002	553	55.19 %
>lcl|NC_001133.9_cds_NP_009383.1_52 	3396	1378	40.58 %
>lcl|NC_001133.9_cds_NP_009384.1_53 	978	370	37.83 %
>lcl|NC_001133.9_cds_NP_009385.2_54 	4071	1583	38.88 %
>lcl|NC_001133.9_cds_NP_009386.1_55 	1908	730	38.26 %
>lcl|NC_001133.9_cds_NP_009387.1_56 	1200	521	43.42 %
>lcl|NC_001133.9_cds_NP_009388.2_57 	768	345	44.92 %
>lcl|NC_001133.9_cds_NP_009389.3_58 	1218	627	51.48 %
>lcl|NC_001133.9_cds_NP_009390.1_59 	1185	577	48.69 %
>lcl|NC_001133.9_cds_NP_009391.2_60 	1878	781	41.59 %
>lcl|NC_001133.9_cds_NP_009392.2_61 	1482	544	36.71 %
>lcl|NC_001133.9_cds_NP_009393.1_62 	780	323	41.41 %
>lcl|NC_001133.9_cds_NP_009394.1_63 	597	232	38.86 %
>lcl|NC_001133.9_cds_NP_009395.1_64 	648	240	37.04 %
>lcl|NC_001133.9_cds_NP_009396.2_65 	1929	850	44.06 %
>lcl|NC_001133.9_cds_NP_009398.1_66 	621	277	44.61 %
>lcl|NC_001133.9_cds_NP_009399.2_67 	3825	1422	37.18 %
>lcl|NC_001133.9_cds_NP_009400.1_68 	3483	1293	37.12 %
>lcl|NC_001133.9_cds_NP_009401.1_69 	1620	640	39.51 %
>lcl|NC_001133.9_cds_NP_009402.1_70 	660	261	39.55 %
>lcl|NC_001133.9_cds_NP_009403.1_71 	1281	513	40.05 %
>lcl|NC_001133.9_cds_NP_009404.1_72 	1866	737	39.50 %
>lcl|NC_001133.9_cds_NP_009405.1_73 	828	325	39.25 %
>lcl|NC_001133.9_cds_NP_009406.1_74 	3591	1336	37.20 %
>lcl|NC_001133.9_cds_NP_009407.1_75 	1323	543	41.04 %
>lcl|NC_001133.9_cds_NP_009408.3_76 	2130	887	41.64 %
>lcl|NC_001133.9_cds_NP_009409.1_77 	921	399	43.32 %
>lcl|NC_001133.9_cds_NP_009410.1_78 	1308	514	39.30 %
>lcl|NC_001133.9_cds_NP_009411.2_79 	2925	1173	40.10 %
>lcl|NC_001133.9_cds_NP_009413.2_81 	540	217	40.19 %
>lcl|NC_001133.9_cds_NP_009414.1_82 	708	265	37.43 %
>lcl|NC_001133.9_cds_NP_009415.1_83 	705	292	41.42 %
>lcl|NC_001133.9_cds_NP_009418.1_85 	897	348	38.80 %
>lcl|NC_001133.9_cds_NP_009419.1_86 	705	290	41.13 %
>lcl|NC_001133.9_cds_NP_009420.1_87 	2064	1198	58.04 %
>lcl|NC_001133.9_cds_NP_009421.3_89 	3567	1570	44.01 %
>lcl|NC_001133.9_cds_NP_009424.1_90 	4614	2091	45.32 %
>lcl|NC_001133.9_cds_NP_009430.1_92 	612	287	46.90 %
>lcl|NC_001133.9_cds_NP_009431.1_93 	486	230	47.33 %
>lcl|NC_001133.9_cds_NP_009434.1_94 	1404	592	42.17 %
>lcl|NC_001134.8_cds_NP_009437.1_95 	2379	1115	46.87 %
>lcl|NC_001134.8_cds_NP_009438.1_96 	318	136	42.77 %
>lcl|NC_001134.8_cds_NP_009439.1_97 	2004	900	44.91 %
>lcl|NC_001134.8_cds_NP_009443.1_99 	591	221	37.39 %
>lcl|NC_001134.8_cds_NP_009444.2_100 	3033	1181	38.94 %
>lcl|NC_001134.8_cds_NP_009445.2_101 	3456	1343	38.86 %
>lcl|NC_001134.8_cds_NP_009446.2_102 	3117	1217	39.04 %
>lcl|NC_001134.8_cds_NP_009447.1_103 	1461	580	39.70 %
>lcl|NC_001134.8_cds_NP_009448.1_104 	648	290	44.75 %
>lcl|NC_001134.8_cds_NP_009449.1_105 	3354	1389	41.41 %
>lcl|NC_001134.8_cds_NP_009450.1_107 	5313	1963	36.95 %
>lcl|NC_001134.8_cds_NP_009451.1_108 	1317	503	38.19 %
>lcl|NC_001134.8_cds_NP_009453.2_109 	1638	715	43.65 %
>lcl|NC_001134.8_cds_NP_009454.1_110 	1383	534	38.61 %
>lcl|NC_001134.8_cds_NP_009455.3_111 	2265	856	37.79 %
>lcl|NC_001134.8_cds_NP_009457.1_112 	813	351	43.17 %
>lcl|NC_001134.8_cds_NP_009459.1_113 	663	294	44.34 %
>lcl|NC_001134.8_cds_NP_009460.1_114 	393	174	44.27 %
>lcl|NC_001134.8_cds_NP_009461.2_115 	528	232	43.94 %
>lcl|NC_001134.8_cds_NP_009462.2_116 	1266	549	43.36 %
>lcl|NC_001134.8_cds_NP_009463.1_117 	534	209	39.14 %
>lcl|NC_001134.8_cds_NP_009464.2_118 	1380	535	38.77 %
>lcl|NC_001134.8_cds_NP_009465.2_119 	8364	2995	35.81 %
>lcl|NC_001134.8_cds_NP_009466.1_120 	414	194	46.86 %
>lcl|NC_001134.8_cds_NP_009467.1_121 	1401	577	41.18 %
>lcl|NC_001134.8_cds_NP_009468.1_122 	2943	1177	39.99 %
>lcl|NC_001134.8_cds_NP_009469.2_123 	2277	846	37.15 %
>lcl|NC_001134.8_cds_NP_009471.1_124 	1377	659	47.86 %
>lcl|NC_001134.8_cds_NP_009472.1_125 	1107	496	44.81 %
>lcl|NC_001134.8_cds_NP_009473.2_126 	1626	669	41.14 %
>lcl|NC_001134.8_cds_NP_009474.1_127 	4509	1682	37.30 %
>lcl|NC_001134.8_cds_NP_009475.1_128 	354	141	39.83 %
>lcl|NC_001134.8_cds_NP_009477.1_129 	3219	1253	38.93 %
>lcl|NC_001134.8_cds_NP_009478.1_130 	1950	811	41.59 %
>lcl|NC_001134.8_cds_NP_009479.1_131 	1068	406	38.01 %
>lcl|NC_001134.8_cds_NP_009481.1_132 	603	263	43.62 %
>lcl|NC_001134.8_cds_NP_001333723.1_135 	309	112	36.25 %
>lcl|NC_001134.8_cds_NP_009484.2_136 	1290	524	40.62 %
>lcl|NC_001134.8_cds_NP_009485.3_137 	981	379	38.63 %
>lcl|NC_001134.8_cds_NP_009486.3_138 	2244	833	37.12 %
>lcl|NC_001134.8_cds_NP_009487.2_139 	3447	1388	40.27 %
>lcl|NC_001134.8_cds_NP_009489.1_140 	786	328	41.73 %
>lcl|NC_001134.8_cds_NP_009490.1_141 	3336	1206	36.15 %
>lcl|NC_001134.8_cds_NP_009492.1_142 	2091	822	39.31 %
>lcl|NC_001134.8_cds_NP_009493.1_143 	2064	780	37.79 %
>lcl|NC_001134.8_cds_NP_031358.1_144 	330	123	37.27 %
>lcl|NC_001134.8_cds_NP_009494.1_145 	582	228	39.18 %
>lcl|NC_001134.8_cds_NP_009495.1_146 	1272	562	44.18 %
>lcl|NC_001134.8_cds_NP_009496.2_147 	627	269	42.90 %
>lcl|NC_001134.8_cds_NP_009497.2_148 	1407	547	38.88 %
>lcl|NC_001134.8_cds_NP_009498.1_149 	1257	509	40.49 %
>lcl|NC_001134.8_cds_NP_009499.1_150 	1578	655	41.51 %
>lcl|NC_001134.8_cds_NP_009501.1_151 	2496	885	35.46 %
>lcl|NC_001134.8_cds_NP_009502.1_152 	2007	784	39.06 %
>lcl|NC_001134.8_cds_NP_009503.1_153 	879	351	39.93 %
>lcl|NC_001134.8_cds_NP_009504.1_154 	417	163	39.09 %
>lcl|NC_001134.8_cds_NP_001335744.1_155 	312	96	30.77 %
>lcl|NC_001134.8_cds_NP_009506.1_156 	4146	1714	41.34 %
>lcl|NC_001134.8_cds_NP_009507.1_157 	1326	541	40.80 %
>lcl|NC_001134.8_cds_NP_009508.1_158 	1374	578	42.07 %
>lcl|NC_001134.8_cds_NP_009509.1_159 	369	174	47.15 %
>lcl|NC_001134.8_cds_NP_009510.1_160 	774	334	43.15 %
>lcl|NC_001134.8_cds_NP_009511.1_161 	1920	802	41.77 %
>lcl|NC_001134.8_cds_NP_009512.1_162 	726	301	41.46 %
>lcl|NC_001134.8_cds_NP_009513.1_163 	660	239	36.21 %
>lcl|NC_001134.8_cds_NP_009514.1_165 	1740	699	40.17 %
>lcl|NC_001134.8_cds_NP_009515.1_166 	699	277	39.63 %
>lcl|NC_001134.8_cds_NP_009516.1_167 	3078	1157	37.59 %
>lcl|NC_001134.8_cds_NP_009517.1_168 	774	286	36.95 %
>lcl|NC_001134.8_cds_NP_009518.1_169 	2118	835	39.42 %
>lcl|NC_001134.8_cds_NP_009519.1_170 	4542	1606	35.36 %
>lcl|NC_001134.8_cds_NP_009520.1_171 	1038	498	47.98 %
>lcl|NC_001134.8_cds_NP_009521.1_172 	1146	530	46.25 %
>lcl|NC_001134.8_cds_NP_009522.1_173 	1017	405	39.82 %
>lcl|NC_001134.8_cds_NP_009523.1_174 	957	411	42.95 %
>lcl|NC_001134.8_cds_NP_009524.1_176 	1131	429	37.93 %
>lcl|NC_001134.8_cds_NP_009525.1_177 	321	118	36.76 %
>lcl|NC_001134.8_cds_NP_009526.1_178 	570	253	44.39 %
>lcl|NC_001134.8_cds_NP_009528.1_180 	438	176	40.18 %
>lcl|NC_001134.8_cds_NP_009529.1_181 	2055	795	38.69 %
>lcl|NC_001134.8_cds_NP_009530.1_182 	2607	1043	40.01 %
>lcl|NC_001134.8_cds_NP_009531.1_183 	3402	1384	40.68 %
>lcl|NC_001134.8_cds_NP_009532.1_184 	435	209	48.05 %
>lcl|NC_001134.8_cds_NP_009533.1_185 	1725	660	38.26 %
>lcl|NC_001134.8_cds_NP_009534.1_186 	1563	585	37.43 %
>lcl|NC_001134.8_cds_NP_009535.1_187 	402	149	37.06 %
>lcl|NC_001134.8_cds_NP_009536.1_188 	4740	1847	38.97 %
>lcl|NC_001134.8_cds_NP_009537.1_189 	1062	486	45.76 %
>lcl|NC_001134.8_cds_NP_009538.1_190 	1581	727	45.98 %
>lcl|NC_001134.8_cds_NP_009539.2_191 	2685	1054	39.26 %
>lcl|NC_001134.8_cds_NP_009540.2_192 	1206	592	49.09 %
>lcl|NC_001134.8_cds_NP_009542.1_193 	2280	981	43.03 %
>lcl|NC_001134.8_cds_NP_009543.1_194 	843	321	38.08 %
>lcl|NC_001134.8_cds_NP_009544.1_195 	2031	773	38.06 %
>lcl|NC_001134.8_cds_NP_009545.2_197 	2523	998	39.56 %
>lcl|NC_001134.8_cds_NP_009546.1_198 	3735	1619	43.35 %
>lcl|NC_001134.8_cds_NP_009547.2_199 	543	263	48.43 %
>lcl|NC_001134.8_cds_NP_009548.1_200 	2931	1056	36.03 %
>lcl|NC_001134.8_cds_NP_009549.1_201 	5268	2020	38.34 %
>lcl|NC_001134.8_cds_NP_009550.1_202 	1323	543	41.04 %
>lcl|NC_001134.8_cds_NP_009551.2_203 	7482	2657	35.51 %
>lcl|NC_001134.8_cds_NP_009552.1_204 	399	164	41.10 %
>lcl|NC_001134.8_cds_NP_009553.1_205 	396	165	41.67 %
>lcl|NC_001134.8_cds_NP_009554.1_206 	315	124	39.37 %
>lcl|NC_001134.8_cds_NP_009555.1_207 	2343	921	39.31 %
>lcl|NC_001134.8_cds_NP_009556.1_208 	861	363	42.16 %
>lcl|NC_001134.8_cds_NP_009557.1_209 	1422	576	40.51 %
>lcl|NC_001134.8_cds_NP_009558.2_210 	1302	446	34.25 %
>lcl|NC_001134.8_cds_NP_009559.1_211 	642	301	46.88 %
>lcl|NC_001134.8_cds_NP_009560.1_212 	1494	609	40.76 %
>lcl|NC_001134.8_cds_NP_009561.2_213 	2211	851	38.49 %
>lcl|NC_001134.8_cds_NP_009562.1_214 	1647	679	41.23 %
>lcl|NC_001134.8_cds_NP_009563.1_215 	312	133	42.63 %
>lcl|NC_001134.8_cds_NP_009564.1_216 	411	178	43.31 %
>lcl|NC_001134.8_cds_NP_009565.1_217 	864	368	42.59 %
>lcl|NC_001134.8_cds_NP_009567.1_218 	5271	2020	38.32 %
>lcl|NC_001134.8_cds_NP_009568.1_219 	1323	542	40.97 %
>lcl|NC_001134.8_cds_NP_009569.1_220 	390	129	33.08 %
>lcl|NC_001134.8_cds_NP_009570.1_221 	612	239	39.05 %
>lcl|NC_001134.8_cds_NP_009571.1_222 	1794	747	41.64 %
>lcl|NC_001134.8_cds_NP_009572.1_223 	387	196	50.65 %
>lcl|NC_001134.8_cds_NP_009573.1_224 	2757	1074	38.96 %
>lcl|NC_001134.8_cds_NP_009574.1_225 	1101	422	38.33 %
>lcl|NC_001134.8_cds_NP_009575.1_226 	2100	844	40.19 %
>lcl|NC_001134.8_cds_NP_009576.1_227 	1587	658	41.46 %
>lcl|NC_001134.8_cds_NP_009577.1_228 	1902	759	39.91 %
>lcl|NC_001134.8_cds_NP_009578.1_229 	534	203	38.01 %
>lcl|NC_001134.8_cds_NP_009579.1_230 	3498	1370	39.17 %
>lcl|NC_001134.8_cds_NP_009580.1_231 	906	362	39.96 %
>lcl|NC_001134.8_cds_NP_009581.1_232 	1185	469	39.58 %
>lcl|NC_001134.8_cds_NP_009582.1_233 	1143	442	38.67 %
>lcl|NC_001134.8_cds_NP_001333724.1_234 	333	114	34.23 %
>lcl|NC_001134.8_cds_NP_009584.1_235 	1578	603	38.21 %
>lcl|NC_001134.8_cds_NP_009585.1_236 	1374	529	38.50 %
>lcl|NC_001134.8_cds_NP_009586.1_237 	1659	671	40.45 %
>lcl|NC_001134.8_cds_NP_009587.1_238 	1089	524	48.12 %
>lcl|NC_001134.8_cds_NP_001333725.1_239 	303	131	43.23 %
>lcl|NC_001134.8_cds_NP_009589.1_240 	2760	1067	38.66 %
>lcl|NC_001134.8_cds_NP_009590.1_241 	1047	425	40.59 %
>lcl|NC_001134.8_cds_NP_009591.1_242 	687	298	43.38 %
>lcl|NC_001134.8_cds_NP_009592.1_243 	1233	535	43.39 %
>lcl|NC_001134.8_cds_NP_009593.1_244 	888	399	44.93 %
>lcl|NC_001134.8_cds_NP_009594.1_245 	2892	1166	40.32 %
>lcl|NC_001134.8_cds_NP_009595.1_246 	936	366	39.10 %
>lcl|NC_001134.8_cds_NP_009596.1_247 	897	313	34.89 %
>lcl|NC_001134.8_cds_NP_009597.2_248 	2010	758	37.71 %
>lcl|NC_001134.8_cds_NP_009598.1_249 	1194	443	37.10 %
>lcl|NC_001134.8_cds_NP_009599.2_250 	2070	847	40.92 %
>lcl|NC_001134.8_cds_NP_009600.2_251 	1719	672	39.09 %
>lcl|NC_001134.8_cds_NP_009601.2_252 	1920	701	36.51 %
>lcl|NC_001134.8_cds_NP_009602.1_253 	1005	392	39.00 %
>lcl|NC_001134.8_cds_NP_009603.1_254 	528	194	36.74 %
>lcl|NC_001134.8_cds_NP_009604.1_255 	471	206	43.74 %
>lcl|NC_001134.8_cds_NP_009605.1_256 	2433	942	38.72 %
>lcl|NC_001134.8_cds_NP_009606.1_257 	1017	398	39.13 %
>lcl|NC_001134.8_cds_NP_009608.1_258 	633	280	44.23 %
>lcl|NC_001134.8_cds_NP_009609.1_259 	1077	420	39.00 %
>lcl|NC_001134.8_cds_NP_009610.1_260 	1035	421	40.68 %
>lcl|NC_001134.8_cds_NP_009611.1_261 	2700	1007	37.30 %
>lcl|NC_001134.8_cds_NP_009612.1_262 	1506	577	38.31 %
>lcl|NC_001134.8_cds_NP_009613.1_264 	1101	423	38.42 %
>lcl|NC_001134.8_cds_NP_009614.2_265 	2346	887	37.81 %
>lcl|NC_001134.8_cds_NP_009615.1_267 	3327	1342	40.34 %
>lcl|NC_001134.8_cds_NP_009616.1_268 	1863	719	38.59 %
>lcl|NC_001134.8_cds_NP_009617.3_269 	933	377	40.41 %
>lcl|NC_001134.8_cds_NP_009618.2_270 	543	217	39.96 %
>lcl|NC_001134.8_cds_NP_009619.1_271 	1215	428	35.23 %
>lcl|NC_001134.8_cds_NP_009621.3_272 	1095	408	37.26 %
>lcl|NC_001134.8_cds_NP_009622.1_273 	663	252	38.01 %
>lcl|NC_001134.8_cds_NP_009623.1_274 	633	302	47.71 %
>lcl|NC_001134.8_cds_NP_009624.4_275 	1830	736	40.22 %
>lcl|NC_001134.8_cds_NP_009625.1_276 	1860	777	41.77 %
>lcl|NC_001134.8_cds_NP_009626.1_277 	714	281	39.36 %
>lcl|NC_001134.8_cds_NP_009627.3_278 	636	276	43.40 %
>lcl|NC_001134.8_cds_NP_009628.1_279 	645	274	42.48 %
>lcl|NC_001134.8_cds_NP_009629.6_281 	2877	1095	38.06 %
>lcl|NC_001134.8_cds_NP_009630.3_282 	2931	1110	37.87 %
>lcl|NC_001134.8_cds_NP_009632.2_283 	1065	393	36.90 %
>lcl|NC_001134.8_cds_NP_009633.3_284 	489	191	39.06 %
>lcl|NC_001134.8_cds_NP_009634.2_285 	1290	542	42.02 %
>lcl|NC_001134.8_cds_NP_009635.1_286 	2895	1171	40.45 %
>lcl|NC_001134.8_cds_NP_009636.3_287 	2277	875	38.43 %
>lcl|NC_001134.8_cds_NP_009637.1_288 	3999	1467	36.68 %
>lcl|NC_001134.8_cds_NP_009638.1_289 	447	194	43.40 %
>lcl|NC_001134.8_cds_NP_009639.3_290 	1461	590	40.38 %
>lcl|NC_001134.8_cds_NP_009640.1_291 	2928	1218	41.60 %
>lcl|NC_001134.8_cds_NP_009641.1_292 	570	250	43.86 %
>lcl|NC_001134.8_cds_NP_009642.3_293 	924	374	40.48 %
>lcl|NC_001134.8_cds_NP_009643.2_295 	2841	1079	37.98 %
>lcl|NC_001134.8_cds_NP_009644.3_296 	1065	395	37.09 %
>lcl|NC_001134.8_cds_NP_009645.1_297 	777	298	38.35 %
>lcl|NC_001134.8_cds_NP_009648.4_299 	369	163	44.17 %
>lcl|NC_001134.8_cds_NP_009649.1_300 	330	147	44.55 %
>lcl|NC_001134.8_cds_NP_009650.1_301 	1404	603	42.95 %
>lcl|NC_001134.8_cds_NP_009651.3_302 	1404	595	42.38 %
>lcl|NC_001134.8_cds_NP_009652.2_303 	2262	847	37.44 %
>lcl|NC_001134.8_cds_NP_009653.2_304 	1293	488	37.74 %
>lcl|NC_001134.8_cds_NP_009654.3_305 	693	259	37.37 %
>lcl|NC_001134.8_cds_NP_009655.2_306 	4365	1515	34.71 %
>lcl|NC_001134.8_cds_NP_009656.2_307 	2076	760	36.61 %
>lcl|NC_001134.8_cds_NP_009659.3_308 	873	333	38.14 %
>lcl|NC_001134.8_cds_NP_009660.1_309 	2262	859	37.98 %
>lcl|NC_001134.8_cds_NP_009661.1_310 	1608	654	40.67 %
>lcl|NC_001134.8_cds_NP_009662.3_311 	990	410	41.41 %
>lcl|NC_001134.8_cds_NP_009663.1_312 	1089	461	42.33 %
>lcl|NC_001134.8_cds_NP_009664.1_313 	567	246	43.39 %
>lcl|NC_001134.8_cds_NP_009665.3_314 	738	310	42.01 %
>lcl|NC_001134.8_cds_NP_009666.3_315 	2844	1315	46.24 %
>lcl|NC_001134.8_cds_NP_009667.1_316 	444	173	38.96 %
>lcl|NC_001134.8_cds_NP_009668.3_317 	1350	490	36.30 %
>lcl|NC_001134.8_cds_NP_009669.1_318 	696	283	40.66 %
>lcl|NC_001134.8_cds_NP_009670.3_320 	2901	1270	43.78 %
>lcl|NC_001134.8_cds_NP_009672.1_321 	2373	951	40.08 %
>lcl|NC_001134.8_cds_NP_009673.1_322 	4179	1671	39.99 %
>lcl|NC_001134.8_cds_NP_009675.3_323 	2046	919	44.92 %
>lcl|NC_001134.8_cds_NP_009676.1_324 	1377	614	44.59 %
>lcl|NC_001134.8_cds_NP_009677.1_325 	897	341	38.02 %
>lcl|NC_001134.8_cds_NP_009678.3_326 	489	169	34.56 %
>lcl|NC_001134.8_cds_NP_009679.2_327 	2004	787	39.27 %
>lcl|NC_001134.8_cds_NP_009680.2_328 	534	213	39.89 %
>lcl|NC_001134.8_cds_NP_009681.3_329 	1950	751	38.51 %
>lcl|NC_001134.8_cds_NP_009683.1_330 	1182	479	40.52 %
>lcl|NC_001134.8_cds_NP_009684.1_331 	1488	673	45.23 %
>lcl|NC_001134.8_cds_NP_009685.3_333 	1554	658	42.34 %
>lcl|NC_001134.8_cds_NP_009686.1_334 	1035	394	38.07 %
>lcl|NC_001134.8_cds_NP_009687.1_335 	987	369	37.39 %
>lcl|NC_001134.8_cds_NP_009688.3_336 	1278	460	35.99 %
>lcl|NC_001134.8_cds_NP_009689.3_337 	2115	795	37.59 %
>lcl|NC_001134.8_cds_NP_009690.1_338 	1791	727	40.59 %
>lcl|NC_001134.8_cds_NP_009691.1_339 	2484	1012	40.74 %
>lcl|NC_001134.8_cds_NP_009693.3_340 	453	217	47.90 %
>lcl|NC_001134.8_cds_NP_009694.3_341 	7107	2585	36.37 %
>lcl|NC_001134.8_cds_NP_009695.2_342 	540	213	39.44 %
>lcl|NC_001134.8_cds_NP_009696.2_343 	1575	558	35.43 %
>lcl|NC_001134.8_cds_NP_009697.3_344 	1527	619	40.54 %
>lcl|NC_001134.8_cds_NP_009698.3_345 	9279	3358	36.19 %
>lcl|NC_001134.8_cds_NP_009699.2_346 	1014	410	40.43 %
>lcl|NC_001134.8_cds_NP_009700.1_347 	2322	861	37.08 %
>lcl|NC_001134.8_cds_NP_009701.3_348 	1314	485	36.91 %
>lcl|NC_001134.8_cds_NP_001335745.1_349 	315	124	39.37 %
>lcl|NC_001134.8_cds_NP_009703.3_350 	1056	450	42.61 %
>lcl|NC_001134.8_cds_NP_009704.1_351 	837	325	38.83 %
>lcl|NC_001134.8_cds_NP_009705.1_352 	891	331	37.15 %
>lcl|NC_001134.8_cds_NP_009706.3_353 	1830	649	35.46 %
>lcl|NC_001134.8_cds_NP_009707.3_354 	1035	429	41.45 %
>lcl|NC_001134.8_cds_NP_009708.1_355 	3285	1183	36.01 %
>lcl|NC_001134.8_cds_NP_009709.1_356 	951	380	39.96 %
>lcl|NC_001134.8_cds_NP_009710.3_357 	876	345	39.38 %
>lcl|NC_001134.8_cds_NP_009711.3_358 	735	302	41.09 %
>lcl|NC_001134.8_cds_NP_009712.1_359 	648	242	37.35 %
>lcl|NC_001134.8_cds_NP_009713.1_360 	1158	450	38.86 %
>lcl|NC_001134.8_cds_NP_009714.3_361 	2097	783	37.34 %
>lcl|NC_001134.8_cds_NP_009715.4_362 	768	298	38.80 %
>lcl|NC_001134.8_cds_NP_009716.1_363 	1650	628	38.06 %
>lcl|NC_001134.8_cds_NP_009717.1_364 	1044	397	38.03 %
>lcl|NC_001134.8_cds_NP_009718.3_365 	897	369	41.14 %
>lcl|NC_001134.8_cds_NP_009719.3_366 	1131	432	38.20 %
>lcl|NC_001134.8_cds_NP_009720.1_367 	1368	595	43.49 %
>lcl|NC_001134.8_cds_NP_009722.3_369 	1758	635	36.12 %
>lcl|NC_001134.8_cds_NP_009723.3_370 	552	212	38.41 %
>lcl|NC_001134.8_cds_NP_009724.1_371 	834	314	37.65 %
>lcl|NC_001134.8_cds_NP_009725.1_372 	1359	507	37.31 %
>lcl|NC_001134.8_cds_NP_009726.3_373 	423	153	36.17 %
>lcl|NC_001134.8_cds_NP_009727.3_374 	1242	440	35.43 %
>lcl|NC_001134.8_cds_NP_009728.1_375 	2082	846	40.63 %
>lcl|NC_001134.8_cds_NP_009729.1_376 	1743	696	39.93 %
>lcl|NC_001134.8_cds_NP_009730.3_377 	621	224	36.07 %
>lcl|NC_001134.8_cds_NP_009731.4_378 	2223	898	40.40 %
>lcl|NC_001134.8_cds_NP_009732.1_379 	447	198	44.30 %
>lcl|NC_001134.8_cds_NP_009734.1_380 	948	404	42.62 %
>lcl|NC_001134.8_cds_NP_009735.3_381 	939	373	39.72 %
>lcl|NC_001134.8_cds_NP_009736.3_382 	1356	559	41.22 %
>lcl|NC_001134.8_cds_NP_009738.1_383 	2568	946	36.84 %
>lcl|NC_001134.8_cds_NP_009739.1_384 	1719	679	39.50 %
>lcl|NC_001134.8_cds_NP_009740.3_385 	711	306	43.04 %
>lcl|NC_001134.8_cds_NP_009741.3_386 	1359	565	41.57 %
>lcl|NC_001134.8_cds_NP_009742.1_388 	951	390	41.01 %
>lcl|NC_001134.8_cds_NP_009743.3_389 	1572	548	34.86 %
>lcl|NC_001134.8_cds_NP_009744.3_390 	837	314	37.51 %
>lcl|NC_001134.8_cds_NP_009745.2_391 	1695	639	37.70 %
>lcl|NC_001134.8_cds_NP_009746.1_392 	843	357	42.35 %
>lcl|NC_001134.8_cds_NP_009747.3_393 	423	170	40.19 %
>lcl|NC_001134.8_cds_NP_009748.3_394 	588	252	42.86 %
