heder	Length	GC_amont	CG_precent
>lcl|NC_000913.3_cds_NP_414624.1_83 	942	520	55.20 %
>lcl|NC_000913.3_cds_NP_414625.1_84 	366	184	50.27 %
>lcl|NC_000913.3_cds_NP_414626.1_85 	1767	954	53.99 %
>lcl|NC_000913.3_cds_NP_414627.1_86 	1488	842	56.59 %
>lcl|NC_000913.3_cds_NP_414628.1_87 	1359	749	55.11 %
>lcl|NC_000913.3_cds_NP_414629.1_88 	1083	578	53.37 %
>lcl|NC_000913.3_cds_NP_414630.1_89 	1317	723	54.90 %
>lcl|NC_000913.3_cds_NP_414631.1_90 	1245	660	53.01 %
>lcl|NC_000913.3_cds_NP_414632.1_91 	1068	599	56.09 %
>lcl|NC_000913.3_cds_NP_414633.1_92 	1476	808	54.74 %
>lcl|NC_000913.3_cds_NP_414634.1_93 	921	475	51.57 %
>lcl|NC_000913.3_cds_NP_414635.1_94 	831	443	53.31 %
>lcl|NC_000913.3_cds_NP_414636.1_95 	1263	658	52.10 %
>lcl|NC_000913.3_cds_NP_414637.1_96 	1152	624	54.17 %
>lcl|NC_000913.3_cds_NP_414638.1_97 	918	469	51.09 %
>lcl|NC_000913.3_cds_NP_414639.2_98 	513	277	54.00 %
>lcl|NC_000913.3_cds_NP_414640.1_99 	2706	1418	52.40 %
>lcl|NC_000913.3_cds_NP_414641.1_100 	390	192	49.23 %
>lcl|NC_000913.3_cds_NP_414643.1_101 	198	102	51.52 %
>lcl|NC_000913.3_cds_NP_414644.1_102 	744	383	51.48 %
>lcl|NC_000913.3_cds_NP_414645.1_103 	621	327	52.66 %
>lcl|NC_000913.3_cds_YP_009518737.1_104 	45	14	31.11 %
>lcl|NC_000913.3_cds_NP_414646.1_105 	1044	536	51.34 %
>lcl|NC_000913.3_cds_NP_414648.1_106 	1203	625	51.95 %
>lcl|NC_000913.3_cds_NP_414649.1_107 	1386	741	53.46 %
>lcl|NC_000913.3_cds_NP_414650.1_108 	441	234	53.06 %
>lcl|NC_000913.3_cds_NP_414651.1_109 	894	475	53.13 %
>lcl|NC_000913.3_cds_NP_414652.1_110 	552	297	53.80 %
>lcl|NC_000913.3_cds_NP_414653.1_111 	855	445	52.05 %
>lcl|NC_000913.3_cds_NP_414654.1_112 	1374	724	52.69 %
>lcl|NC_000913.3_cds_NP_414655.1_113 	765	427	55.82 %
>lcl|NC_000913.3_cds_NP_414656.1_114 	2664	1413	53.04 %
>lcl|NC_000913.3_cds_NP_414657.1_115 	1893	1035	54.68 %
>lcl|NC_000913.3_cds_NP_414658.1_116 	1425	756	53.05 %
>lcl|NC_000913.3_cds_NP_414659.1_117 	1854	999	53.88 %
>lcl|NC_000913.3_cds_NP_414660.1_118 	2598	1452	55.89 %
>lcl|NC_000913.3_cds_NP_414661.2_119 	363	189	52.07 %
>lcl|NC_000913.3_cds_NP_414662.1_120 	795	367	46.16 %
>lcl|NC_000913.3_cds_NP_414663.1_121 	867	440	50.75 %
>lcl|NC_000913.3_cds_NP_414664.4_122 	348	174	50.00 %
>lcl|NC_000913.3_cds_NP_414665.1_123 	1551	848	54.67 %
>lcl|NC_000913.3_cds_NP_414666.1_124 	2391	1325	55.42 %
>lcl|NC_000913.3_cds_NP_414667.4_125 	537	272	50.65 %
>lcl|NC_000913.3_cds_NP_414668.1_126 	663	336	50.68 %
>lcl|NC_000913.3_cds_NP_414669.1_127 	927	460	49.62 %
>lcl|NC_000913.3_cds_NP_414670.1_128 	771	391	50.71 %
>lcl|NC_000913.3_cds_NP_414671.1_129 	441	217	49.21 %
>lcl|NC_000913.3_cds_NP_414672.1_130 	1230	609	49.51 %
>lcl|NC_000913.3_cds_NP_414673.1_131 	381	200	52.49 %
>lcl|NC_000913.3_cds_NP_414674.1_132 	903	441	48.84 %
>lcl|NC_000913.3_cds_NP_414675.1_133 	852	449	52.70 %
>lcl|NC_000913.3_cds_NP_414676.1_134 	795	434	54.59 %
>lcl|NC_000913.3_cds_NP_414677.1_135 	1239	500	40.36 %
>lcl|NC_000913.3_cds_NP_414678.1_136 	597	247	41.37 %
>lcl|NC_000913.3_cds_NP_414679.1_137 	606	258	42.57 %
>lcl|NC_000913.3_cds_NP_414680.4_138 	570	244	42.81 %
>lcl|NC_000913.3_cds_NP_414681.1_139 	2598	1126	43.34 %
>lcl|NC_000913.3_cds_NP_414682.1_140 	741	329	44.40 %
>lcl|NC_000913.3_cds_NP_414683.1_141 	585	262	44.79 %
>lcl|NC_000913.3_cds_NP_414684.1_142 	480	240	50.00 %
>lcl|NC_000913.3_cds_NP_414685.4_143 	1398	781	55.87 %
>lcl|NC_000913.3_cds_NP_414686.3_144 	927	497	53.61 %
>lcl|NC_000913.3_cds_NP_414687.1_145 	456	240	52.63 %
>lcl|NC_000913.3_cds_NP_414688.1_146 	705	348	49.36 %
>lcl|NC_000913.3_cds_NP_414689.4_147 	531	297	55.93 %
>lcl|NC_000913.3_cds_NP_414690.4_148 	2430	1375	56.58 %
>lcl|NC_000913.3_cds_NP_414691.1_149 	2535	1398	55.15 %
>lcl|NC_000913.3_cds_YP_010051172.1_150 	2400	1329	55.38 %
>lcl|NC_000913.3_cds_NP_414692.1_151 	2244	1150	51.25 %
>lcl|NC_000913.3_cds_NP_414693.1_152 	798	454	56.89 %
>lcl|NC_000913.3_cds_NP_414694.1_153 	891	487	54.66 %
>lcl|NC_000913.3_cds_NP_414695.1_154 	1983	1185	59.76 %
>lcl|NC_000913.3_cds_NP_414696.1_155 	1281	711	55.50 %
>lcl|NC_000913.3_cds_YP_010051173.1_156 	48	18	37.50 %
>lcl|NC_000913.3_cds_NP_414697.1_157 	1422	766	53.87 %
>lcl|NC_000913.3_cds_YP_009518738.1_158 	66	26	39.39 %
>lcl|NC_000913.3_cds_NP_414698.1_159 	345	175	50.72 %
>lcl|NC_000913.3_cds_NP_414699.1_160 	624	335	53.69 %
>lcl|NC_000913.3_cds_NP_414700.1_161 	801	424	52.93 %
>lcl|NC_000913.3_cds_NP_414701.1_162 	699	366	52.36 %
>lcl|NC_000913.3_cds_NP_414702.1_163 	1518	728	47.96 %
>lcl|NC_000913.3_cds_NP_414703.1_164 	1425	769	53.96 %
>lcl|NC_000913.3_cds_NP_414704.4_165 	1158	612	52.85 %
>lcl|NC_000913.3_cds_NP_414705.1_166 	387	172	44.44 %
>lcl|NC_000913.3_cds_NP_414706.2_167 	813	418	51.41 %
>lcl|NC_000913.3_cds_NP_414708.1_168 	825	438	53.09 %
>lcl|NC_000913.3_cds_NP_414709.1_169 	2673	1442	53.95 %
>lcl|NC_000913.3_cds_NP_414710.1_170 	795	401	50.44 %
>lcl|NC_000913.3_cds_NP_414711.1_171 	726	373	51.38 %
>lcl|NC_000913.3_cds_NP_414712.1_172 	852	425	49.88 %
>lcl|NC_000913.3_cds_NP_414713.1_173 	726	383	52.75 %
>lcl|NC_000913.3_cds_NP_414714.1_174 	558	284	50.90 %
>lcl|NC_000913.3_cds_NP_414715.1_175 	1197	630	52.63 %
>lcl|NC_000913.3_cds_NP_414716.1_176 	762	381	50.00 %
>lcl|NC_000913.3_cds_NP_414717.2_177 	858	436	50.82 %
>lcl|NC_000913.3_cds_NP_414718.1_178 	1353	689	50.92 %
>lcl|NC_000913.3_cds_NP_414719.1_179 	2433	1233	50.68 %
>lcl|NC_000913.3_cds_NP_414720.1_180 	486	244	50.21 %
>lcl|NC_000913.3_cds_NP_414721.1_181 	1026	542	52.83 %
>lcl|NC_000913.3_cds_NP_414722.1_182 	456	230	50.44 %
>lcl|NC_000913.3_cds_NP_414723.1_183 	789	419	53.11 %
>lcl|NC_000913.3_cds_NP_414724.1_184 	1149	618	53.79 %
>lcl|NC_000913.3_cds_NP_414725.1_185 	597	342	57.29 %
>lcl|NC_000913.3_cds_NP_414726.1_186 	3483	1914	54.95 %
>lcl|NC_000913.3_cds_NP_414727.1_187 	960	502	52.29 %
>lcl|NC_000913.3_cds_NP_414728.1_188 	2142	1090	50.89 %
>lcl|NC_000913.3_cds_NP_414729.4_189 	390	197	50.51 %
>lcl|NC_000913.3_cds_NP_414730.1_190 	1299	754	58.04 %
>lcl|NC_000913.3_cds_NP_414731.2_191 	255	122	47.84 %
>lcl|NC_000913.3_cds_YP_026160.1_192 	201	102	50.75 %
>lcl|NC_000913.3_cds_NP_414732.1_193 	546	286	52.38 %
>lcl|NC_000913.3_cds_NP_414733.1_194 	423	229	54.14 %
>lcl|NC_000913.3_cds_NP_414734.1_195 	711	372	52.32 %
>lcl|NC_000913.3_cds_NP_414735.4_196 	825	407	49.33 %
>lcl|NC_000913.3_cds_NP_414736.1_197 	1719	937	54.51 %
>lcl|NC_000913.3_cds_NP_414737.1_198 	708	391	55.23 %
>lcl|NC_000913.3_cds_NP_414738.1_199 	405	216	53.33 %
>lcl|NC_000913.3_cds_NP_414739.1_200 	816	401	49.14 %
>lcl|NC_000913.3_cds_NP_414740.1_201 	654	342	52.29 %
>lcl|NC_000913.3_cds_NP_414741.1_202 	1032	546	52.91 %
>lcl|NC_000913.3_cds_NP_414742.1_203 	576	289	50.17 %
>lcl|NC_000913.3_cds_NP_414743.1_204 	804	372	46.27 %
>lcl|NC_000913.3_cds_NP_414744.1_205 	915	454	49.62 %
>lcl|NC_000913.3_cds_NP_414745.1_206 	801	422	52.68 %
>lcl|NC_000913.3_cds_NP_414746.1_207 	624	306	49.04 %
>lcl|NC_000913.3_cds_NP_414747.1_208 	1359	706	51.95 %
>lcl|NC_000913.3_cds_NP_414748.1_209 	756	304	40.21 %
>lcl|NC_000913.3_cds_YP_010283908.1_210 	33	13	39.39 %
>lcl|NC_000913.3_cds_NP_414749.2_211 	723	357	49.38 %
>lcl|NC_000913.3_cds_NP_414750.1_212 	468	236	50.43 %
>lcl|NC_000913.3_cds_NP_414751.1_213 	732	367	50.14 %
>lcl|NC_000913.3_cds_NP_414752.1_214 	786	336	42.75 %
>lcl|NC_000913.3_cds_YP_001165307.1_215 	480	147	30.62 %
>lcl|NC_000913.3_cds_NP_414754.1_216 	771	422	54.73 %
>lcl|NC_000913.3_cds_NP_414755.1_217 	474	237	50.00 %
>lcl|NC_000913.3_cds_NP_414756.2_218 	2445	1391	56.89 %
>lcl|NC_000913.3_cds_NP_414757.1_219 	579	295	50.95 %
>lcl|NC_000913.3_cds_NP_414758.1_220 	768	412	53.65 %
>lcl|NC_000913.3_cds_NP_414759.1_221 	741	359	48.45 %
>lcl|NC_000913.3_cds_NP_414760.1_222 	279	110	39.43 %
>lcl|NC_000913.3_cds_NP_414761.1_223 	261	122	46.74 %
>lcl|NC_000913.3_cds_NP_414762.1_224 	750	393	52.40 %
>lcl|NC_000913.3_cds_NP_414763.1_225 	498	223	44.78 %
>lcl|NC_000913.3_cds_NP_414766.1_226 	1056	572	54.17 %
>lcl|NC_000913.3_cds_NP_414767.1_227 	294	124	42.18 %
>lcl|NC_000913.3_cds_NP_414768.1_228 	399	174	43.61 %
>lcl|NC_000913.3_cds_NP_414769.1_229 	453	196	43.27 %
>lcl|NC_000913.3_cds_NP_414772.1_230 	1458	749	51.37 %
>lcl|NC_000913.3_cds_NP_414773.1_231 	459	238	51.85 %
>lcl|NC_000913.3_cds_NP_414774.1_232 	1245	668	53.65 %
>lcl|NC_000913.3_cds_b0240_233 	402	203	50.50 %
>lcl|NC_000913.3_cds_YP_009518739.1_234 	504	275	54.56 %
>lcl|NC_000913.3_cds_YP_009518740.1_235 	276	146	52.90 %
>lcl|NC_000913.3_cds_NP_414776.1_236 	1056	472	44.70 %
>lcl|NC_000913.3_cds_NP_414777.1_237 	1104	621	56.25 %
>lcl|NC_000913.3_cds_NP_414778.1_238 	1254	681	54.31 %
>lcl|NC_000913.3_cds_NP_414779.1_239 	342	175	51.17 %
>lcl|NC_000913.3_cds_NP_414780.1_240 	318	181	56.92 %
>lcl|NC_000913.3_cds_YP_588435.1_241 	222	124	55.86 %
>lcl|NC_000913.3_cds_NP_414781.1_242 	477	279	58.49 %
>lcl|NC_000913.3_cds_NP_414782.1_243 	459	255	55.56 %
>lcl|NC_000913.3_cds_NP_414783.1_244 	240	141	58.75 %
>lcl|NC_000913.3_cds_NP_414784.1_245 	468	246	52.56 %
>lcl|NC_000913.3_cds_NP_414785.4_246 	444	225	50.68 %
>lcl|NC_000913.3_cds_NP_414786.4_247 	822	475	57.79 %
>lcl|NC_000913.3_cds_NP_414787.4_248 	864	491	56.83 %
>lcl|NC_000913.3_cds_NP_414788.1_249 	894	429	47.99 %
>lcl|NC_000913.3_cds_b4587_250 	690	356	51.59 %
>lcl|NC_000913.3_cds_NP_414790.1_251 	1152	528	45.83 %
>lcl|NC_000913.3_cds_YP_009518741.1_252 	1146	625	54.54 %
>lcl|NC_000913.3_cds_NP_414793.2_253 	981	540	55.05 %
>lcl|NC_000913.3_cds_NP_414794.4_254 	1404	770	54.84 %
>lcl|NC_000913.3_cds_NP_414795.1_255 	933	563	60.34 %
>lcl|NC_000913.3_cds_NP_414796.2_256 	1047	590	56.35 %
>lcl|NC_000913.3_cds_NP_414798.1_257 	504	278	55.16 %
>lcl|NC_000913.3_cds_NP_414799.1_258 	276	147	53.26 %
>lcl|NC_000913.3_cds_YP_009518742.1_259 	351	179	51.00 %
>lcl|NC_000913.3_cds_NP_414801.1_260 	1155	717	62.08 %
>lcl|NC_000913.3_cds_NP_414802.2_261 	909	560	61.61 %
>lcl|NC_000913.3_cds_NP_414803.1_262 	1968	1313	66.72 %
>lcl|NC_000913.3_cds_NP_414804.1_263 	1383	864	62.47 %
>lcl|NC_000913.3_cds_NP_414805.1_264 	1611	1037	64.37 %
>lcl|NC_000913.3_cds_NP_414806.1_265 	759	480	63.24 %
>lcl|NC_000913.3_cds_NP_414807.1_266 	1005	591	58.81 %
>lcl|NC_000913.3_cds_YP_010051174.1_267 	96	29	30.21 %
>lcl|NC_000913.3_cds_YP_009518743.1_268 	129	55	42.64 %
>lcl|NC_000913.3_cds_NP_414808.1_269 	504	278	55.16 %
>lcl|NC_000913.3_cds_NP_414809.1_270 	276	147	53.26 %
>lcl|NC_000913.3_cds_YP_009518744.1_271 	732	358	48.91 %
>lcl|NC_000913.3_cds_NP_414811.1_272 	627	281	44.82 %
>lcl|NC_000913.3_cds_NP_414812.1_273 	699	261	37.34 %
>lcl|NC_000913.3_cds_NP_414813.1_274 	855	310	36.26 %
>lcl|NC_000913.3_cds_YP_009518745.1_275 	225	92	40.89 %
>lcl|NC_000913.3_cds_NP_414814.1_276 	441	192	43.54 %
>lcl|NC_000913.3_cds_NP_414815.1_277 	1401	621	44.33 %
>lcl|NC_000913.3_cds_YP_009518746.1_278 	411	216	52.55 %
>lcl|NC_000913.3_cds_NP_414817.1_279 	957	574	59.98 %
>lcl|NC_000913.3_cds_NP_414818.1_280 	2199	1307	59.44 %
>lcl|NC_000913.3_cds_NP_414819.1_281 	957	581	60.71 %
>lcl|NC_000913.3_cds_NP_414820.1_282 	690	378	54.78 %
>lcl|NC_000913.3_cds_NP_414821.1_283 	615	278	45.20 %
>lcl|NC_000913.3_cds_NP_414822.1_284 	330	166	50.30 %
>lcl|NC_000913.3_cds_NP_414823.2_285 	711	377	53.02 %
>lcl|NC_000913.3_cds_NP_414824.1_286 	1644	848	51.58 %
>lcl|NC_000913.3_cds_NP_414825.1_287 	2526	1396	55.27 %
>lcl|NC_000913.3_cds_NP_414826.1_288 	669	367	54.86 %
>lcl|NC_000913.3_cds_NP_414827.1_289 	588	311	52.89 %
>lcl|NC_000913.3_cds_NP_414828.1_290 	591	231	39.09 %
>lcl|NC_000913.3_cds_NP_414829.1_291 	228	100	43.86 %
>lcl|NC_000913.3_cds_YP_588437.1_292 	141	59	41.84 %
>lcl|NC_000913.3_cds_NP_414830.1_293 	264	121	45.83 %
>lcl|NC_000913.3_cds_YP_002791238.1_294 	102	29	28.43 %
>lcl|NC_000913.3_cds_NP_414832.2_295 	300	150	50.00 %
>lcl|NC_000913.3_cds_NP_414833.1_296 	867	478	55.13 %
>lcl|NC_000913.3_cds_NP_414835.2_297 	594	267	44.95 %
>lcl|NC_000913.3_cds_NP_414837.2_298 	237	84	35.44 %
>lcl|NC_000913.3_cds_NP_414838.2_299 	1326	604	45.55 %
>lcl|NC_000913.3_cds_NP_414839.1_300 	855	438	51.23 %
>lcl|NC_000913.3_cds_NP_414840.1_301 	720	364	50.56 %
>lcl|NC_000913.3_cds_NP_414841.1_302 	1428	717	50.21 %
>lcl|NC_000913.3_cds_NP_414842.4_303 	696	363	52.16 %
>lcl|NC_000913.3_cds_NP_414844.1_304 	669	247	36.92 %
>lcl|NC_000913.3_cds_NP_414845.1_305 	1671	954	57.09 %
>lcl|NC_000913.3_cds_NP_414846.1_306 	1473	858	58.25 %
>lcl|NC_000913.3_cds_NP_414847.3_307 	588	334	56.80 %
>lcl|NC_000913.3_cds_NP_414848.1_308 	2034	1125	55.31 %
>lcl|NC_000913.3_cds_YP_009518747.1_309 	75	18	24.00 %
>lcl|NC_000913.3_cds_NP_414849.1_310 	1089	500	45.91 %
>lcl|NC_000913.3_cds_NP_414850.1_311 	933	460	49.30 %
>lcl|NC_000913.3_cds_NP_414851.1_312 	498	263	52.81 %
>lcl|NC_000913.3_cds_NP_414852.1_313 	606	275	45.38 %
>lcl|NC_000913.3_cds_NP_414853.1_314 	864	407	47.11 %
>lcl|NC_000913.3_cds_NP_414854.1_315 	1548	860	55.56 %
>lcl|NC_000913.3_cds_NP_414855.1_316 	1419	828	58.35 %
>lcl|NC_000913.3_cds_YP_009518748.2_317 	321	185	57.63 %
>lcl|NC_000913.3_cds_NP_414857.1_318 	951	534	56.15 %
>lcl|NC_000913.3_cds_NP_414858.1_319 	1383	778	56.25 %
>lcl|NC_000913.3_cds_NP_414859.1_320 	1050	560	53.33 %
>lcl|NC_000913.3_cds_NP_414860.1_321 	816	317	38.85 %
>lcl|NC_000913.3_cds_YP_013606033.1_322 	183	85	46.45 %
>lcl|NC_000913.3_cds_NP_414861.2_323 	246	115	46.75 %
>lcl|NC_000913.3_cds_NP_414862.1_324 	672	332	49.40 %
>lcl|NC_000913.3_cds_NP_414863.1_325 	276	107	38.77 %
>lcl|NC_000913.3_cds_NP_414864.1_326 	1587	876	55.20 %
>lcl|NC_000913.3_cds_NP_414865.1_327 	891	500	56.12 %
>lcl|NC_000913.3_cds_NP_414867.1_328 	1170	651	55.64 %
>lcl|NC_000913.3_cds_NP_414868.1_329 	1452	827	56.96 %
>lcl|NC_000913.3_cds_NP_414869.1_330 	1887	1102	58.40 %
>lcl|NC_000913.3_cds_NP_414870.1_331 	1260	679	53.89 %
>lcl|NC_000913.3_cds_NP_414871.1_332 	1284	686	53.43 %
>lcl|NC_000913.3_cds_NP_414872.3_333 	900	495	55.00 %
>lcl|NC_000913.3_cds_NP_414873.1_334 	660	378	57.27 %
>lcl|NC_000913.3_cds_NP_414874.1_335 	471	238	50.53 %
>lcl|NC_000913.3_cds_NP_414875.1_336 	1155	678	58.70 %
>lcl|NC_000913.3_cds_NP_414876.1_337 	612	262	42.81 %
>lcl|NC_000913.3_cds_NP_414877.1_338 	1254	581	46.33 %
>lcl|NC_000913.3_cds_NP_414878.1_339 	3075	1730	56.26 %
>lcl|NC_000913.3_cds_NP_414879.3_340 	1083	610	56.33 %
>lcl|NC_000913.3_cds_NP_414880.2_341 	834	465	55.76 %
>lcl|NC_000913.3_cds_NP_414881.1_342 	1665	949	57.00 %
>lcl|NC_000913.3_cds_NP_414882.1_343 	945	546	57.78 %
>lcl|NC_000913.3_cds_NP_414883.5_344 	867	474	54.67 %
>lcl|NC_000913.3_cds_NP_414884.2_345 	810	447	55.19 %
>lcl|NC_000913.3_cds_NP_414885.1_346 	951	518	54.47 %
>lcl|NC_000913.3_cds_NP_414886.1_347 	1014	573	56.51 %
>lcl|NC_000913.3_cds_NP_414887.2_348 	1212	696	57.43 %
>lcl|NC_000913.3_cds_NP_414888.4_349 	540	260	48.15 %
>lcl|NC_000913.3_cds_NP_414889.1_350 	834	405	48.56 %
>lcl|NC_000913.3_cds_NP_414890.1_351 	1110	596	53.69 %
>lcl|NC_000913.3_cds_NP_414891.4_352 	276	147	53.26 %
>lcl|NC_000913.3_cds_NP_414892.1_353 	774	388	50.13 %
>lcl|NC_000913.3_cds_b4579_354 	699	316	45.21 %
>lcl|NC_000913.3_cds_NP_414894.2_355 	366	194	53.01 %
>lcl|NC_000913.3_cds_NP_414895.1_356 	906	499	55.08 %
>lcl|NC_000913.3_cds_NP_414897.1_357 	1197	598	49.96 %
>lcl|NC_000913.3_cds_YP_009518749.1_358 	120	52	43.33 %
>lcl|NC_000913.3_cds_NP_414898.4_359 	558	242	43.37 %
>lcl|NC_000913.3_cds_NP_414899.2_360 	963	542	56.28 %
>lcl|NC_000913.3_cds_NP_414900.1_361 	768	430	55.99 %
>lcl|NC_000913.3_cds_NP_414901.1_362 	828	474	57.25 %
>lcl|NC_000913.3_cds_NP_414902.1_363 	852	464	54.46 %
>lcl|NC_000913.3_cds_NP_414903.4_364 	975	526	53.95 %
>lcl|NC_000913.3_cds_b4580_365 	2907	1317	45.30 %
>lcl|NC_000913.3_cds_YP_010051175.1_366 	57	24	42.11 %
>lcl|NC_000913.3_cds_NP_414906.1_367 	867	478	55.13 %
>lcl|NC_000913.3_cds_NP_414907.2_368 	300	150	50.00 %
>lcl|NC_000913.3_cds_NP_414909.2_369 	624	246	39.42 %
>lcl|NC_000913.3_cds_NP_414910.1_370 	1158	641	55.35 %
>lcl|NC_000913.3_cds_NP_414911.1_371 	1221	627	51.35 %
>lcl|NC_000913.3_cds_NP_414912.1_372 	1095	585	53.42 %
