heder	Length	GC_amont	CG_precent
>ENST00000632960.1 cds scaffold	356	206	57.87 %
>ENST00000633987.1 cds scaffold	353	193	54.67 %
>ENST00000632005.1 cds scaffold	358	193	53.91 %
>ENST00000633570.1 cds scaffold	349	200	57.31 %
>ENST00000615784.2 cds scaffold	353	193	54.67 %
>ENST00000633400.1 cds scaffold	351	188	53.56 %
>ENST00000631379.1 cds scaffold	353	207	58.64 %
>ENST00000632882.1 cds scaffold	353	203	57.51 %
>ENST00000632211.1 cds scaffold	359	182	50.70 %
>ENST00000632105.1 cds scaffold	353	201	56.94 %
>ENST00000632630.1 cds scaffold	353	194	54.96 %
>ENST00000633299.1 cds scaffold	365	198	54.25 %
>ENST00000633350.1 cds scaffold	353	204	57.79 %
>ENST00000390282.2 cds chromosome	359	216	60.17 %
>ENST00000390287.2 cds chromosome	352	205	58.24 %
>ENST00000390283.2 cds chromosome	368	203	55.16 %
>ENST00000390284.2 cds chromosome	362	206	56.91 %
>ENST00000390285.4 cds chromosome	353	201	56.94 %
>ENST00000390286.3 cds chromosome	369	211	57.18 %
>ENST00000390289.2 cds chromosome	374	203	54.28 %
>ENST00000390290.3 cds chromosome	353	201	56.94 %
>ENST00000390291.2 cds chromosome	354	206	58.19 %
>ENST00000427632.2 cds chromosome	372	218	58.60 %
>ENST00000390293.1 cds chromosome	318	174	54.72 %
>ENST00000390294.2 cds chromosome	351	206	58.69 %
>ENST00000390295.3 cds chromosome	351	202	57.55 %
>ENST00000390296.2 cds chromosome	369	201	54.47 %
>ENST00000390297.3 cds chromosome	353	205	58.07 %
>ENST00000390298.2 cds chromosome	351	197	56.13 %
>ENST00000390299.2 cds chromosome	356	215	60.39 %
>ENST00000390300.2 cds chromosome	369	198	53.66 %
>ENST00000390301.3 cds chromosome	353	200	56.66 %
>ENST00000390302.3 cds chromosome	354	190	53.67 %
>ENST00000390303.3 cds chromosome	344	194	56.40 %
>ENST00000390304.2 cds chromosome	339	192	56.64 %
>ENST00000390305.2 cds chromosome	337	189	56.08 %
>ENST00000390306.2 cds chromosome	340	194	57.06 %
>ENST00000390307.2 cds chromosome	345	193	55.94 %
>ENST00000390308.2 cds chromosome	351	207	58.97 %
>ENST00000390309.2 cds chromosome	337	184	54.60 %
>ENST00000390310.3 cds chromosome	354	206	58.19 %
>ENST00000390311.3 cds chromosome	347	188	54.18 %
>ENST00000390312.2 cds chromosome	361	206	57.06 %
>ENST00000390315.3 cds chromosome	347	192	55.33 %
>ENST00000390316.2 cds chromosome	346	200	57.80 %
>ENST00000620395.2 cds chromosome	354	207	58.47 %
>ENST00000390318.2 cds chromosome	369	208	56.37 %
>ENST00000390319.2 cds chromosome	346	196	56.65 %
>ENST00000604066.1 cds chromosome	353	202	57.22 %
>ENST00000390609.3 cds chromosome	353	194	54.96 %
>ENST00000390616.2 cds chromosome	369	211	57.18 %
>ENST00000390618.2 cds chromosome	348	185	53.16 %
>ENST00000390612.3 cds chromosome	353	203	57.51 %
>ENST00000390607.2 cds chromosome	351	190	54.13 %
>ENST00000632099.1 cds chromosome	353	183	51.84 %
>ENST00000390617.2 cds chromosome	351	186	52.99 %
>ENST00000390603.2 cds chromosome	357	186	52.10 %
>ENST00000390606.3 cds chromosome	353	190	53.82 %
>ENST00000390610.2 cds chromosome	351	194	55.27 %
>ENST00000390615.2 cds chromosome	351	191	54.42 %
>ENST00000603660.1 cds chromosome	351	188	53.56 %
>ENST00000632950.2 cds chromosome	353	204	57.79 %
>ENST00000390611.2 cds chromosome	357	194	54.34 %
>ENST00000390605.2 cds chromosome	351	197	56.13 %
>ENST00000438142.3 cds chromosome	356	208	58.43 %
>ENST00000390602.3 cds chromosome	350	189	54.00 %
>ENST00000390604.2 cds chromosome	351	188	53.56 %
>ENST00000390601.3 cds chromosome	353	185	52.41 %
>ENST00000390313.3 cds chromosome	347	200	57.64 %
>ENST00000390314.2 cds chromosome	358	203	56.70 %
>ENST00000390619.2 cds chromosome	375	215	57.33 %
>ENST00000434710.1 cds chromosome	354	179	50.56 %
>ENST00000390621.3 cds chromosome	353	191	54.11 %
>ENST00000390622.2 cds chromosome	351	200	56.98 %
>ENST00000390624.3 cds chromosome	353	185	52.41 %
>ENST00000390625.3 cds chromosome	359	182	50.70 %
>ENST00000390626.2 cds chromosome	351	206	58.69 %
>ENST00000390627.3 cds chromosome	350	191	54.57 %
>ENST00000390628.3 cds chromosome	353	196	55.52 %
>ENST00000390629.3 cds chromosome	350	199	56.86 %
>ENST00000519403.2 cds chromosome	308	157	50.97 %
>ENST00000610349.2 cds scaffold	356	215	60.39 %
>ENST00000628287.1 cds scaffold	352	204	57.95 %
>ENST00000627634.1 cds scaffold	344	194	56.40 %
>ENST00000628968.1 cds scaffold	369	198	53.66 %
>ENST00000618644.2 cds scaffold	351	197	56.13 %
>ENST00000618026.2 cds scaffold	353	200	56.66 %
>ENST00000630493.1 cds scaffold	369	200	54.20 %
>ENST00000629472.1 cds scaffold	354	190	53.67 %
>ENST00000626489.1 cds scaffold	369	202	54.74 %
>ENST00000628219.1 cds scaffold	353	180	50.99 %
>ENST00000627132.1 cds scaffold	359	196	54.60 %
>ENST00000626108.1 cds scaffold	353	190	53.82 %
>ENST00000390593.2 cds chromosome	363	197	54.27 %
>ENST00000390594.3 cds chromosome	353	204	57.79 %
>ENST00000390595.3 cds chromosome	353	195	55.24 %
>ENST00000455737.2 cds chromosome	353	207	58.64 %
>ENST00000631943.1 cds chromosome	353	195	55.24 %
>ENST00000390597.3 cds chromosome	358	196	54.75 %
>ENST00000390598.2 cds chromosome	351	192	54.70 %
>ENST00000390630.3 cds chromosome	356	206	57.87 %
>ENST00000454421.2 cds chromosome	354	182	51.41 %
>ENST00000390632.2 cds chromosome	348	187	53.74 %
>ENST00000390633.2 cds chromosome	351	202	57.55 %
>ENST00000390634.3 cds chromosome	358	193	53.91 %
>ENST00000632209.1 cds chromosome	353	193	54.67 %
>ENST00000624687.1 cds chromosome	353	204	57.79 %
>ENST00000617374.2 cds chromosome	358	192	53.63 %
>ENST00000433072.2 cds chromosome	357	188	52.66 %
>ENST00000390636.2 cds chromosome	357	194	54.34 %
>ENST00000424969.2 cds chromosome	351	192	54.70 %
>ENST00000390639.2 cds chromosome	351	195	55.56 %
>ENST00000557788.2 cds chromosome	353	207	58.64 %
>ENST00000630556.1 cds chromosome	353	202	57.22 %
>ENST00000622410.2 cds chromosome	353	207	58.64 %
>ENST00000338912.5 cds chromosome	353	196	55.52 %
>ENST00000558565.2 cds chromosome	359	178	49.58 %
>ENST00000453673.3 cds chromosome	353	194	54.96 %
>ENST00000390243.2 cds chromosome	363	190	52.34 %
>ENST00000464162.1 cds chromosome	351	184	52.42 %
>ENST00000390247.2 cds chromosome	348	187	53.74 %
>ENST00000495489.1 cds chromosome	345	179	51.88 %
>ENST00000493819.1 cds chromosome	351	184	52.42 %
>ENST00000483158.1 cds chromosome	345	191	55.36 %
>ENST00000480492.1 cds chromosome	351	188	53.56 %
>ENST00000390252.2 cds chromosome	345	191	55.36 %
>ENST00000479981.1 cds chromosome	351	179	51.00 %
>ENST00000490686.1 cds chromosome	351	185	52.71 %
>ENST00000492167.1 cds chromosome	348	195	56.03 %
>ENST00000390256.2 cds chromosome	342	173	50.58 %
>ENST00000484817.1 cds chromosome	360	190	52.78 %
>ENST00000498435.1 cds chromosome	351	182	51.85 %
>ENST00000482769.1 cds chromosome	360	194	53.89 %
>ENST00000468494.1 cds chromosome	360	196	54.44 %
>ENST00000473726.1 cds chromosome	351	175	49.86 %
>ENST00000465170.1 cds chromosome	351	182	51.85 %
>ENST00000498574.1 cds chromosome	351	182	51.85 %
>ENST00000620613.1 cds chromosome	315	167	53.02 %
>ENST00000448155.2 cds chromosome	353	184	52.12 %
>ENST00000509129.1 cds chromosome	353	184	52.12 %
>ENST00000390265.2 cds chromosome	351	175	49.86 %
>ENST00000474213.1 cds chromosome	360	195	54.17 %
>ENST00000491977.1 cds chromosome	360	192	53.33 %
>ENST00000453166.2 cds chromosome	360	194	53.89 %
>ENST00000390268.2 cds chromosome	360	189	52.50 %
>ENST00000462693.1 cds chromosome	360	192	53.33 %
>ENST00000436451.2 cds chromosome	342	175	51.17 %
>ENST00000390270.2 cds chromosome	348	196	56.32 %
>ENST00000390271.2 cds chromosome	345	183	53.04 %
>ENST00000483379.1 cds chromosome	351	180	51.28 %
>ENST00000492446.1 cds chromosome	351	183	52.14 %
>ENST00000417279.3 cds chromosome	347	192	55.33 %
>ENST00000611391.1 cds chromosome	351	186	52.99 %
>ENST00000377032.5 cds chromosome	351	187	53.28 %
>ENST00000390277.3 cds chromosome	347	195	56.20 %
>ENST00000390278.3 cds chromosome	353	180	50.99 %
>ENST00000468879.1 cds chromosome	351	183	52.14 %
>ENST00000471857.2 cds chromosome	353	182	51.56 %
>ENST00000443397.5 cds chromosome	359	196	54.60 %
>ENST00000421835.2 cds chromosome	350	192	54.86 %
>ENST00000429992.3 cds chromosome	365	199	54.52 %
>ENST00000390244.2 cds chromosome	345	158	45.80 %
>ENST00000496168.1 cds chromosome	351	183	52.14 %
>ENST00000567458.2 cds chromosome	358	194	54.19 %
>ENST00000425181.3 cds chromosome	350	181	51.71 %
>ENST00000565407.2 cds chromosome	349	185	53.01 %
>ENST00000570121.2 cds chromosome	353	186	52.69 %
>ENST00000562905.2 cds chromosome	353	183	51.84 %
>ENST00000569103.2 cds chromosome	349	182	52.15 %
>ENST00000390477.2 cds chromosome	465	188	40.43 %
>ENST00000611116.2 cds chromosome	426	197	46.24 %
>ENST00000632136.1 cds scaffold	534	321	60.11 %
>ENST00000622053.4 cds scaffold	540	323	59.81 %
>ENST00000633705.1 cds chromosome	534	320	59.93 %
>ENST00000436911.6 cds chromosome	570	231	40.53 %
>ENST00000443402.6 cds chromosome	522	212	40.61 %
>ENST00000466254.1 cds chromosome	540	322	59.63 %
>ENST00000361390.2 cds chromosome	956	456	47.70 %
>ENST00000361453.3 cds chromosome	1042	448	42.99 %
>ENST00000361624.2 cds chromosome	1542	713	46.24 %
>ENST00000361739.1 cds chromosome	684	316	46.20 %
>ENST00000361899.2 cds chromosome	681	301	44.20 %
>ENST00000362079.2 cds chromosome	784	365	46.56 %
>ENST00000361227.2 cds chromosome	346	139	40.17 %
>ENST00000361381.2 cds chromosome	1378	610	44.27 %
>ENST00000361567.2 cds chromosome	1812	814	44.92 %
>ENST00000361681.2 cds chromosome	525	224	42.67 %
>ENST00000361789.2 cds chromosome	1141	528	46.28 %
>ENST00000614336.4 cds scaffold	1812	896	49.45 %
>ENST00000612640.4 cds scaffold	2019	991	49.08 %
>ENST00000621424.4 cds scaffold	1803	1132	62.78 %
>ENST00000615165.1 cds scaffold	1479	897	60.65 %
>ENST00000616049.4 cds scaffold	1755	764	43.53 %
>ENST00000616157.1 cds scaffold	1146	533	46.51 %
>ENST00000613204.1 cds scaffold	663	426	64.25 %
>ENST00000617983.1 cds scaffold	1287	783	60.84 %
>ENST00000612465.1 cds scaffold	363	164	45.18 %
>ENST00000612565.1 cds scaffold	732	486	66.39 %
>ENST00000601199.2 cds scaffold	510	298	58.43 %
>ENST00000612315.1 cds scaffold	531	324	61.02 %
>ENST00000618003.1 cds scaffold	351	204	58.12 %
>ENST00000613230.1 cds scaffold	375	223	59.47 %
>ENST00000400754.4 cds scaffold	390	236	60.51 %
>ENST00000612848.1 cds scaffold	462	282	61.04 %
>ENST00000616638.1 cds scaffold	309	195	63.11 %
>ENST00000613216.4 cds scaffold	1905	1130	59.32 %
>ENST00000611339.1 cds scaffold	1560	902	57.82 %
>ENST00000612919.1 cds scaffold	372	137	36.83 %
>ENST00000621028.1 cds scaffold	375	217	57.87 %
>ENST00000619792.1 cds scaffold	1287	777	60.37 %
>ENST00000643872.4 cds scaffold	687	340	49.49 %
>ENST00000628983.2 cds scaffold	684	341	49.85 %
>ENST00000672485.1 cds scaffold	1572	1009	64.19 %
>ENST00000671794.1 cds scaffold	1434	899	62.69 %
>ENST00000672505.1 cds scaffold	357	230	64.43 %
>ENST00000671931.1 cds scaffold	357	230	64.43 %
>ENST00000671977.1 cds scaffold	354	237	66.95 %
>ENST00000673364.1 cds scaffold	357	230	64.43 %
>ENST00000707314.1 cds scaffold	1266	724	57.19 %
>ENST00000707315.1 cds scaffold	639	346	54.15 %
>ENST00000707298.1 cds scaffold	690	404	58.55 %
>ENST00000707302.1 cds scaffold	747	438	58.63 %
>ENST00000707303.1 cds scaffold	711	414	58.23 %
>ENST00000707304.1 cds scaffold	681	403	59.18 %
>ENST00000707305.1 cds scaffold	711	414	58.23 %
>ENST00000710353.1 cds scaffold	5421	3784	69.80 %
>ENST00000633392.1 cds scaffold	1437	742	51.64 %
>ENST00000634171.3 cds scaffold	882	423	47.96 %
>ENST00000632257.1 cds scaffold	1425	738	51.79 %
>ENST00000632563.2 cds scaffold	1437	734	51.08 %
>ENST00000632873.1 cds scaffold	1425	747	52.42 %
>ENST00000355096.4 cds scaffold	1425	797	55.93 %
>ENST00000633146.1 cds scaffold	1425	797	55.93 %
>ENST00000632388.1 cds scaffold	1431	743	51.92 %
>ENST00000632295.1 cds scaffold	1431	743	51.92 %
>ENST00000672496.1 cds scaffold	465	287	61.72 %
>ENST00000672511.1 cds scaffold	345	215	62.32 %
>ENST00000631964.1 cds scaffold	1437	735	51.15 %
>ENST00000633863.1 cds scaffold	882	428	48.53 %
>ENST00000632559.1 cds scaffold	1437	743	51.70 %
>ENST00000634012.1 cds scaffold	1437	743	51.70 %
>ENST00000633810.2 cds scaffold	882	421	47.73 %
>ENST00000707307.1 cds scaffold	16965	10223	60.26 %
>ENST00000713550.1 cds scaffold	15393	9525	61.88 %
>ENST00000633532.1 cds scaffold	1437	743	51.70 %
>ENST00000633805.3 cds scaffold	882	429	48.64 %
>ENST00000633914.1 cds scaffold	1437	741	51.57 %
>ENST00000632392.3 cds scaffold	1425	744	52.21 %
>ENST00000639526.1 cds scaffold	690	358	51.88 %
>ENST00000632307.2 cds scaffold	1440	764	53.06 %
>ENST00000633074.1 cds scaffold	1431	741	51.78 %
>ENST00000632222.1 cds scaffold	1425	796	55.86 %
>ENST00000632952.1 cds scaffold	1425	796	55.86 %
>ENST00000631760.1 cds scaffold	1425	796	55.86 %
>ENST00000632108.2 cds scaffold	1425	748	52.49 %
>ENST00000713586.1 cds scaffold	1440	764	53.06 %
>ENST00000707310.1 cds scaffold	2238	1189	53.13 %
>ENST00000573911.1 cds scaffold	918	442	48.15 %
>ENST00000571130.1 cds scaffold	918	440	47.93 %
>ENST00000575017.3 cds scaffold	984	445	45.22 %
>ENST00000627413.2 cds scaffold	984	481	48.88 %
>ENST00000628217.2 cds scaffold	1083	538	49.68 %
>ENST00000625808.1 cds scaffold	375	182	48.53 %
>ENST00000631317.2 cds scaffold	984	481	48.88 %
>ENST00000628783.2 cds scaffold	984	481	48.88 %
>ENST00000631251.2 cds scaffold	759	368	48.48 %
>ENST00000627464.1 cds scaffold	530	265	50.00 %
>ENST00000628315.1 cds scaffold	831	398	47.89 %
>ENST00000631283.1 cds scaffold	936	389	41.56 %
>ENST00000628182.3 cds scaffold	4842	2252	46.51 %
>ENST00000625211.2 cds scaffold	4437	2068	46.61 %
>ENST00000626698.1 cds scaffold	4707	2188	46.48 %
>ENST00000673006.3 cds scaffold	1425	931	65.33 %
>ENST00000672883.3 cds scaffold	1173	709	60.44 %
>ENST00000672034.3 cds scaffold	1335	832	62.32 %
>ENST00000671787.1 cds scaffold	1128	635	56.29 %
>ENST00000671991.1 cds scaffold	1128	635	56.29 %
>ENST00000707519.1 cds scaffold	825	528	64.00 %
>ENST00000707520.1 cds scaffold	618	391	63.27 %
>ENST00000707521.1 cds scaffold	642	419	65.26 %
>ENST00000707522.1 cds scaffold	741	471	63.56 %
>ENST00000707523.1 cds scaffold	540	321	59.44 %
>ENST00000707525.1 cds scaffold	559	356	63.69 %
>ENST00000707533.1 cds scaffold	2007	1230	61.29 %
>ENST00000707534.1 cds scaffold	2025	1256	62.02 %
>ENST00000707536.1 cds scaffold	2025	1256	62.02 %
>ENST00000707535.1 cds scaffold	2211	1374	62.14 %
>ENST00000707537.1 cds scaffold	2091	1286	61.50 %
>ENST00000707539.1 cds scaffold	390	220	56.41 %
>ENST00000707540.1 cds scaffold	1845	1142	61.90 %
>ENST00000707541.1 cds scaffold	2301	1457	63.32 %
>ENST00000707542.1 cds scaffold	513	313	61.01 %
>ENST00000707547.1 cds scaffold	513	311	60.62 %
>ENST00000707544.1 cds scaffold	603	365	60.53 %
>ENST00000629245.3 cds scaffold	1296	599	46.22 %
>ENST00000626912.1 cds scaffold	1194	559	46.82 %
>ENST00000631077.1 cds scaffold	1053	500	47.48 %
>ENST00000707550.1 cds scaffold	1878	1332	70.93 %
>ENST00000707551.1 cds scaffold	1878	1332	70.93 %
>ENST00000707558.1 cds scaffold	837	551	65.83 %
>ENST00000707559.1 cds scaffold	534	349	65.36 %
>ENST00000707560.1 cds scaffold	717	464	64.71 %
>ENST00000707567.1 cds scaffold	687	446	64.92 %
>ENST00000707575.1 cds scaffold	714	472	66.11 %
>ENST00000627374.3 cds scaffold	591	322	54.48 %
>ENST00000625206.2 cds scaffold	534	286	53.56 %
>ENST00000627461.1 cds scaffold	447	248	55.48 %
>ENST00000707570.1 cds scaffold	807	478	59.23 %
>ENST00000710276.1 cds scaffold	714	423	59.24 %
>ENST00000626413.3 cds scaffold	1998	1021	51.10 %
>ENST00000628303.1 cds scaffold	432	190	43.98 %
>ENST00000672610.1 cds scaffold	573	411	71.73 %
>ENST00000673238.1 cds scaffold	1047	801	76.50 %
>ENST00000707589.1 cds scaffold	927	537	57.93 %
>ENST00000707590.1 cds scaffold	435	243	55.86 %
>ENST00000707591.1 cds scaffold	885	515	58.19 %
>ENST00000707597.1 cds scaffold	945	552	58.41 %
>ENST00000707598.1 cds scaffold	663	358	54.00 %
>ENST00000707599.1 cds scaffold	903	530	58.69 %
>ENST00000707602.1 cds scaffold	945	553	58.52 %
>ENST00000672066.1 cds scaffold	1755	1144	65.19 %
>ENST00000630425.2 cds scaffold	1071	490	45.75 %
>ENST00000639310.1 cds scaffold	930	392	42.15 %
>ENST00000710319.1 cds scaffold	921	398	43.21 %
>ENST00000625523.2 cds scaffold	1071	593	55.37 %
>ENST00000627903.2 cds scaffold	1482	819	55.26 %
>ENST00000629360.3 cds scaffold	1482	819	55.26 %
>ENST00000626327.2 cds scaffold	1287	707	54.93 %
>ENST00000628693.2 cds scaffold	1485	842	56.70 %
>ENST00000625820.2 cds scaffold	1482	819	55.26 %
>ENST00000631353.1 cds scaffold	623	354	56.82 %
>ENST00000629127.1 cds scaffold	552	312	56.52 %
>ENST00000672946.1 cds scaffold	1692	1004	59.34 %
>ENST00000707385.1 cds scaffold	2409	1538	63.84 %
>ENST00000707386.1 cds scaffold	922	573	62.15 %
>ENST00000707389.1 cds scaffold	504	328	65.08 %
>ENST00000707390.1 cds scaffold	777	482	62.03 %
>ENST00000707391.1 cds scaffold	337	204	60.53 %
>ENST00000707355.1 cds scaffold	2154	1132	52.55 %
>ENST00000707356.1 cds scaffold	896	494	55.13 %
>ENST00000707357.1 cds scaffold	896	494	55.13 %
>ENST00000707364.1 cds scaffold	456	265	58.11 %
>ENST00000707365.1 cds scaffold	402	246	61.19 %
>ENST00000707363.1 cds scaffold	459	267	58.17 %
>ENST00000707370.1 cds scaffold	399	244	61.15 %
>ENST00000707421.1 cds scaffold	483	273	56.52 %
>ENST00000707423.1 cds scaffold	1410	840	59.57 %
>ENST00000707425.1 cds scaffold	1341	806	60.10 %
>ENST00000707424.1 cds scaffold	603	354	58.71 %
>ENST00000707426.1 cds scaffold	603	354	58.71 %
>ENST00000707373.1 cds scaffold	609	362	59.44 %
>ENST00000707374.1 cds scaffold	714	417	58.40 %
>ENST00000707372.1 cds scaffold	792	466	58.84 %
>ENST00000707376.1 cds scaffold	822	485	59.00 %
>ENST00000707377.1 cds scaffold	306	184	60.13 %
>ENST00000707379.1 cds scaffold	792	466	58.84 %
>ENST00000707380.1 cds scaffold	585	323	55.21 %
>ENST00000707396.1 cds scaffold	1998	1172	58.66 %
>ENST00000707399.1 cds scaffold	1314	777	59.13 %
>ENST00000707609.1 cds scaffold	1077	719	66.76 %
>ENST00000707614.1 cds scaffold	447	276	61.74 %
>ENST00000707616.1 cds scaffold	522	321	61.49 %
>ENST00000707617.1 cds scaffold	522	321	61.49 %
>ENST00000707618.1 cds scaffold	522	321	61.49 %
>ENST00000707619.1 cds scaffold	522	321	61.49 %
>ENST00000707620.1 cds scaffold	447	276	61.74 %
>ENST00000710277.1 cds scaffold	3645	1802	49.44 %
>ENST00000713539.1 cds scaffold	5115	2520	49.27 %
>ENST00000707628.1 cds scaffold	567	424	74.78 %
>ENST00000707629.1 cds scaffold	579	431	74.44 %
>ENST00000707626.2 cds scaffold	3957	2428	61.36 %
>ENST00000713541.1 cds scaffold	5115	2528	49.42 %
>ENST00000710279.1 cds scaffold	3645	1808	49.60 %
>ENST00000710278.1 cds scaffold	3645	1804	49.49 %
>ENST00000713540.1 cds scaffold	5115	2524	49.35 %
>ENST00000713538.1 cds scaffold	5115	2519	49.25 %
>ENST00000710275.1 cds scaffold	3645	1801	49.41 %
>ENST00000711198.2 cds chromosome	993	555	55.89 %
>ENST00000972704.1 cds chromosome	696	408	58.62 %
>ENST00000972723.1 cds chromosome	365	172	47.12 %
>ENST00000715685.1 cds scaffold	906	600	66.23 %
>ENST00000711141.2 cds chromosome	879	552	62.80 %
>ENST00000972677.1 cds chromosome	678	395	58.26 %
>ENST00000972792.1 cds chromosome	879	552	62.80 %
>ENST00000972699.1 cds chromosome	678	395	58.26 %
>ENST00000711256.2 cds chromosome	1116	606	54.30 %
>ENST00000972739.1 cds chromosome	699	384	54.94 %
>ENST00000972698.1 cds chromosome	780	424	54.36 %
>ENST00000711206.2 cds chromosome	1122	623	55.53 %
>ENST00000972689.1 cds chromosome	1038	585	56.36 %
>ENST00000972690.1 cds chromosome	897	513	57.19 %
>ENST00000972718.1 cds chromosome	375	201	53.60 %
>ENST00000707466.1 cds scaffold	1128	687	60.90 %
>ENST00000707467.1 cds scaffold	1128	687	60.90 %
>ENST00000707468.1 cds scaffold	1128	687	60.90 %
>ENST00000707469.1 cds scaffold	1128	687	60.90 %
>ENST00000707470.1 cds scaffold	1128	687	60.90 %
>ENST00000707471.1 cds scaffold	1128	687	60.90 %
>ENST00000707472.1 cds scaffold	1128	687	60.90 %
>ENST00000707473.1 cds scaffold	1128	687	60.90 %
>ENST00000707474.1 cds scaffold	1128	687	60.90 %
>ENST00000707479.1 cds scaffold	1128	687	60.90 %
>ENST00000707480.1 cds scaffold	597	372	62.31 %
>ENST00000707482.1 cds scaffold	1128	687	60.90 %
>ENST00000707485.1 cds scaffold	1128	687	60.90 %
>ENST00000707486.1 cds scaffold	1101	669	60.76 %
>ENST00000707487.1 cds scaffold	1128	687	60.90 %
>ENST00000707488.1 cds scaffold	1056	650	61.55 %
>ENST00000707489.1 cds scaffold	1128	687	60.90 %
>ENST00000707490.1 cds scaffold	1128	687	60.90 %
>ENST00000707491.1 cds scaffold	7827	5344	68.28 %
>ENST00000707492.1 cds scaffold	7920	5394	68.11 %
>ENST00000711168.2 cds chromosome	2085	1317	63.17 %
>ENST00000972688.1 cds chromosome	2085	1317	63.17 %
>ENST00000972790.1 cds chromosome	2085	1317	63.17 %
>ENST00000972687.1 cds chromosome	2085	1317	63.17 %
>ENST00000972733.1 cds chromosome	815	510	62.58 %
>ENST00000972952.1 cds chromosome	2085	1317	63.17 %
>ENST00000972953.1 cds chromosome	2085	1317	63.17 %
>ENST00000972954.1 cds chromosome	2085	1317	63.17 %
>ENST00000972996.1 cds chromosome	2085	1317	63.17 %
>ENST00000972997.1 cds chromosome	2085	1317	63.17 %
>ENST00000711123.2 cds chromosome	1728	1107	64.06 %
>ENST00000972700.1 cds chromosome	509	364	71.51 %
>ENST00000973005.1 cds chromosome	1542	991	64.27 %
>ENST00000973006.1 cds chromosome	1797	1156	64.33 %
>ENST00000973007.1 cds chromosome	2274	1462	64.29 %
>ENST00000973008.1 cds chromosome	1782	1147	64.37 %
>ENST00000973009.1 cds chromosome	1722	1103	64.05 %
>ENST00000973010.1 cds chromosome	1653	1059	64.07 %
